organization,website,social,event_description,event_name,inperson_n_h,location_name,street_address,max_capacity,wheelchair_access,public_y_n,register_y_n,free_y_n,cost,date,time,need_to_know,description_add,postal_code,city,email,registration_link,event_contact,photo,email_1,photo_link,event_link,reg_link,full_address,geocodio_address,lat,long,,,
Norse Ridge Services,www.norseridgeservices.ca,@norseridgeservices,"Come learn about the role of an End-of-Life Doula, and join your neighbours in the engaging discussion on death & dying. This (bring your own) bagged lunch & lawn chair gathering will meet in Windsor, Nova Scotia's Victoria park on Tuesday, September 26th at 1230h. If rain threatens, we will move into the Auditorium at the Windsor Community Centre.",What is a Death Doula? I'm Dying to Know.,In-person,Windsor Community Centre,78 Thomas St,20,The building is wheelchair accessible. Unsure of the park accessibility.,For the public,They should register,Free,,Tuesday September 26,12:30p - 3:30p AST,"Bring a bagged lunch, a lawn chair, and dress appropriately for the weather. Maybe bring a cozy blanket to keep warm.

Youth and teens are welcome to attend; however, please note that some discussions can be difficult to grasp for some ages. Use parental discretion.","If you do not wish to register, but would like to attend, you are welcome to.",B0N 2T0,Windsor NS,,kathryn@norseridgeservices.ca,Kathryn - 902-452-4357,https://drive.google.com/open?id=1sog6bRebmnM6nXF0PG3GH5oUD971tqfU,,https://drive.google.com/uc?export=view&id=mnM6nXF0PG3GH5oUD971tqfU,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-llfd14cp,,78 Thomas St Windsor NS Canada,"78 Thomas St, Windsor, NS B0N",44.992511,-64.133699,1,rooftop,Province
"Good Grief, Nova Scotia",GGNS website,,"A welcoming and open space to discuss death and the end of life. Feel free to sit with us and listen to accounts of ""end of life"" celebrations and personal stories of loss. You can share your own stories as you feel comfortable, too. This program is part of Good Grief, Nova Scotia! 

John McCarthy, Program Lead, MAID (Medical Assistance in Dying) with the Nova Scotia Health Authority, will participate and be on hand to answer questions.",Death Café,In-person,Halifax Central Library Room 301,5440 Spring Garden Road ,50,Yes,For the public,They can just show up,Free,,Tuesday the 26th of Sept,7:00 - 8:30pm,NA,NA,B3J 1E9,Halifax,,,Louisa Horne atlouisa@epilog.ca,,,,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-lllhbixz,,5440 Spring Garden Road  Halifax Canada,"5440 Spring Garden Rd, Halifax, NS B3J",44.64282,-63.575218,1,rooftop,Contains information licensed under the Open Data & Information Government Licence – PVSC & Participating Municipalities
Halifax Newcomer Choir,www.halifaxnewcomerchoir.ca,"@halifaxnewcomerchoir (facebook, IG)","We welcome members of the public to join the singers of the Halifax Newcomer Choir - immigrants, refugees, and newcomers to Canada - to explore themes of grief, loss, welcome, community, and belonging at an open rehearsal. 
No musical experience is necessary! Virtual and hard copy lyric sheets will be provided. Join us for songs, stories, and treats. ",Community Night at Halifax Newcomer Choir,In-person,St Andrew's United Church,6036 Coburg Rd,~50,Yes,For the public,They can just show up,Optional donation,Suggested donation: $10,"Tuesday, September 26",6:00-8:00pm AST. Please feel free to come early to mingle!,"If you have a mobile device, it may help to bring it (tablet, phone, etc.). Bring your own water bottles. ","Masks are encouraged, but optional. ", B3H1Y9,Halifax,,,newcomerchoirhfx@gmail.com,https://drive.google.com/open?id=1GSSdOtAukEK_EeiipLawoA3nJHnJgo1c,,https://drive.google.com/uc?export=view&id=kEK_EeiipLawoA3nJHnJgo1c,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-llmoczsb,,6036 Coburg Rd Halifax Canada,"6036 Coburg Rd, Halifax, NS B3H",44.639702,-63.587217,1,rooftop,Contains information licensed under the Open Data & Information Government Licence – PVSC & Participating Municipalities
Orchard View Coaching,www.orchardviewcoaching.com,@orchardviewcoaching (Facebook & IG),"This virtual session will offer tips and tricks to design a joyful life in the face of grief related to homesickness, moving away, starting university, immigrating to a new country, and other big life changes. ","Finding Joy in Change: University Life, Moving House, & Immigration","Virtual (if it's virtual, you can skip the next four questions)",,,n/a,n/a,For the public,They should register,Paid,$11.50 per person,Sunday Sept 24,3-4pm AST,This event is designed for individuals over 16 years of age. Please prepare to turn on your camera (ideally) and use the Google Meet software.,,,,,https://forms.gle/nTkX5zAzrh9avmYE9 ,Rachel - info@orchardviewcoaching.com,https://drive.google.com/open?id=1lpQRFukHPES4T8FPK4t782Xa7k5lILu6,,https://drive.google.com/uc?export=view&id=PES4T8FPK4t782Xa7k5lILu6,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-llmpk0z7,https://docs.google.com/forms/d/e/1FAIpQLSe7YWWz5dhyv9A6K5Znc0Ua_VRP5WdQCJgFQ2tUE4FQbSg2hg/viewform,,,43.99588076,-62.36587459,,,
Norse Ridge Services,www.norseridgeservices.ca,https://www.facebook.com/profile.php?id=61550247444746,"Join your neighbours in an open, safe, and honest discussion about all things death and dying. Each month, Ellershouse and the surrounding communities gather, with food and drink, to talk about death.",Death Cafe - Ellershouse,In-person,Ellershouse Community Hall,429 Ellershouse Rd,35,Yes,For the public,They can just show up,Free,,"Thursday, September 28",7-9pm,Bring your own mug,"Bring yourself and a friend, our goal is to continue to build a supportive community for each other.",B0N 1L0,Ellershouse,,,kathryn@norseridgeservices.ca,https://drive.google.com/open?id=1uOP701V5VRCux8oHmW0jivUD3FYTc_Tj,,https://drive.google.com/uc?export=view&id=VRCux8oHmW0jivUD3FYTc_Tj,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-llvaj0kk,,429 Ellershouse Rd Ellershouse Canada,"429 Ellershouse Rd, St. Croix, NS B0N",44.944898,-64.007985,1,rooftop,Contains information licensed under the Open Data & Information Government Licence – PVSC & Participating Municipalities
N/A,None in association with this event,,A potluck lunch to invite people in the community to talk and share about grief they are experiencing.,"Good Grief, A Potluck",In-person,"The Broad Cove Community Hall, Broad Cove, NS","7147 Highway 331, Broad Cove, NS, B4V 6P2","76, but this event will be limited to 50-60 people",The ground floor of the hall is barrier-free and there is one accessible washroom.,For the public,"RSVP requested, by phone (voice or text) to Alex @ 902-298-1455",Optional donation,,September 30,11:30 am ADST,"As part of Grief Literacy Week, you are invited to join in a potluck lunch to remember and share with others about things that you are missing or grieving – perhaps the loss of a friend or loved one, a cherished animal companion, a relationship or a job, a home, a place, an activity, a state of being. Each of us is different in terms of what we grieve and how we grieve it. Yet everyone grieves at some time or another, in some way or another. 

Please come gather together to share in grieving and in healing. Potluck food items are welcome. If you face barriers or limitations that might prevent you from preparing or bringing a potluck item, you are still welcome. There will be extra food on the table to make sure that there is plenty to go around.",Photo credit: Photo by Jake Warren on Unsplash,B4V 6P2,"Broad Cove, NS",,Please RSVP to Alex at 902-298-1455 (voice or text),"Alex Hickey, AlexLHickey@gmail.com, 902-298-1455 (voice or text)",https://drive.google.com/open?id=1gEwo4O5bo6s4uuoliHHedmRVcow_eycz,,https://drive.google.com/uc?export=view&id=o6s4uuoliHHedmRVcow_eycz,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-lly546ns,,7147 Highway 331 Broad Cove NS B4V 6P2 Canada,"7147 Highway 331, Green Bay, NS B4V",44.1794,-64.481053,0.9,rooftop,Province
Epilog Transition Services,https://epilog.ca/,,"Come to this panel discussion to learn about M.A.I.D. from individuals who have been involved, including John McCarthy (NS MAID Program Leader), Lori Weber (a family member); Louisa Horne (End-of-Life Doula), and knowledgeable audience members.
",Common questions about MAID: A panel discussion,In-person,Royal Bank Theatre at the Halifax Infirmary,1796 Summer St,160,Yes,For the public,They can just show up,Free,,Sunday the 24th,6:00pm-7:30pm,Bring questions about MAID,,B3H 3A6,Halifax,,,louisa@epilog.ca,,,,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-lm6x0jud,,1796 Summer St Halifax Canada,"1796 Summer St, Halifax, NS B3H",44.645424,-63.587095,1,rooftop,City of Halifax Open Government License - Canada V2.0
Epilog Transition Services,https://epilog.ca/,,"As an interfaith spiritual counsellor, cancer survivor, philosopher, minister and more, David knows grief!   This conversation will explore many aspects of the ups and downs of the work of grief.  Be prepared to learn, be inspired and be entertained!","THE DIE JOB – “The Work of Grief” – a conversation with David Maginley, hosted by Louisa Horne of Epilog Transition Services and Dr.Mary Ellen Macdonald",In-person,St. John’s United Church,6025 Stanley Street,50,Not sure,For the public,They can just show up,Free,,Sun the 24th,2:00-4:00pm,N/A,,B3K2G5,Halifax,,,louisa@epilog.ca,,,,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-lm6xchdk,,6025 Stanley Street Halifax Canada,"6025 Stanley St, Halifax, NS B3K",44.661885,-63.606392,1,rooftop,Contains information licensed under the Open Data & Information Government Licence – PVSC & Participating Municipalities
ElderDog Canada,https://elderdog.ca/,https://www.facebook.com/ElderDog/,"The event focuses on a celebration of the human-canine relationship through remembrance of dogs who are with us now only in our hearts and memories. Place to Paws is a chapel-like  space,  located in a tranquil rural setting overlooking a quiet cove and dedicated to the memory of dogs. Attendees are welcome to bring a memento of their dog to leave at Place to Paws, light a candle in memory, write a heartfelt tribute, or spend time in quiet reflection. A Wind Phone is available for those who wish to speak heartfelt words of love and loss to be carried on the wind to their beloved dog. People are also welcome to enjoy several kilometres of trails through field and forest and the canine memorial gardens.",Place to Paws: A Celebration of Canine Remembrance,In-person,"ElderDogLand, home of Place to Paws",907 Feltzen South Road,,No,For the public,They can just show up,Free,,September 23-30,11:00-3:00,Participants need to know the the love of a dog. Comfortable walking shoes are recommended. Dogs welcome.,,B0J 2X0,Lunenburg County,,,"Ardra Cole, info@elderdog.ca, 855-336-4226",https://drive.google.com/open?id=1SYHlwkK5McewGmJKDTFYWekZIREXsPKW,,https://drive.google.com/uc?export=view&id=McewGmJKDTFYWekZIREXsPKW,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-lm9ssv4c,,907 Feltzen South Road Lunenburg County Canada,"Lunenburg, ON K0C",45.082715,-74.862883,0.5,place,CanVec+ by Natural Resources Canada
The When You Die Project,www.whenyoudie.org,"facebook.com/whenyoudiecommunity , Instagram & Twitter is whenyoudie_org ","Saying Goodbye:  Preparing for Death
Feature Documentary
Q & A with local award winning Director Johanna Lunn

How can we talk about death? What is a good death? Does the body need help to die? What quality of life is enough for us? Where do we want to die? What is a conscious death?

Whether you are caring for an aging loved one or looking ahead to your own death, Saying Goodby: Preparing for Death opens the door to honest conversations about what we feel, think, and want when death approaches. Don’t wait until you’re in crisis to decide how you want to be cared for. Making decisions now about what we want when facing the inevitable is a great kindness to yourself, and to your loved ones. This and understanding what could happens when you die, can help prepare the ground for healthy grieving.

This is the second installment of the When You Die documentary trilogy. 

Experts featured in the documentary:
Rev. David Maginley, M.Div; Dr. Ann Marie Chiasson, MD, MPH, CCFB; Julie McFadden, RN; Rev. Olivia Bareham; Sue Brayne, MA; Dr. Penny Sartori, PhD, RN; Dr. Peter Fenwick, MDDCh, DPM FRCPsych; Dr. Anthony Bossis, PhD; Dr. Andrew Holecek, DDS; Jill Schock, MA; Dr. Laurie Mallery, MD, FRCPC, MSM; Dr. Paige Moorehouse, MD, MPH, FRCPC, MSM.

Running time is 54 minutes.

What is the When You Die Documentary Trilogy?
The When You Die documentary trilogy seeks to foster good conversations around death by de-mystifying the dying process and reducing our fear of death through knowledge. With insight and humour, these topics are explored with leading clinicians who have spent their careers at the beside. By discussing what happens when we die with curiosity and compassion, death can be seen as part of the natural rhythm of life.

What is the When You Die Project?
From existential afterlife questions such as, “What happens when you die?” To palliative care and the nuts-and bolts of preparing for end of life, if it has to do with death, we’re talking about it. 

Located in Halifax our resources are used around the world. Check us out  at www.WhenYouDie.org for podcasts, resources, social media pages and to stream our award-winning documentaries.

Who is Johanna Lunn?
Co-founder of the When You Die Project, Johanna is an award-winning producer and director with more than 35 years of film and television experience. For the past 10 years she has been using her life long curiously about the death and the dying process to create documentaries about “What happens when we die” to life.

“At a young age I witnessed a number of significant deaths that completely cracked my world apart. Because it was taboo to talk about death at the time, I felt terribly isolated. Looking back on those experiences, and with the wisdom of having done much research on dying, I have learned that death, like birth, is one of the most extraordinary events in life, and it is critical that we learn to talk about it.”

By talking about death and exploring what happens, Johanna hopes to make the topic a less fearful and a more ordinary part of life - one film at a time. She lives in Nova Scotia with her husband Steve and their intrepid chocolate lab Gracie.
","Saying Goodbye: Preparing for Death, Feature Documentary and Q&A with local award winning Director Johanna Lunn","Virtual (if it's virtual, you can skip the next four questions)",,,,,For the public,They should register,Paid,$8.00 plus fees,"September 29, 2023",7:00 PM ADT,There is nothing the participants need to know in advance., I will send the registration link via email within a day or so. It is in the process of being set up.,,,,Link - will send via email,chelsea@whenyoudie.org,https://drive.google.com/open?id=18WJdX8hd0IgSuAA_r9tG7dMRbrynt4ja,,https://drive.google.com/uc?export=view&id=0IgSuAA_r9tG7dMRbrynt4ja,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-lm9tiurg,https://www.eventbrite.ca/e/saying-goodbye-preparing-for-death-documentary-screening-with-qa-tickets-713321964197?aff=oddtdtcreator,,,43.99588076,-62.36587459,,,
South Shore Hospice Palliative Care Society,www.southshorehospice.ca,https://www.facebook.com/SouthShoreHospicePalliativeCareSociety/,"This workshop invites you to attend to the many layers and types of grief we     experience in our everyday lives. That which is acute and present in the moment, and that which is outside of our awareness. We will explore these layers through discussion, mindfulness practice, and spontaneous art making in a small group setting. Creating art as a response to the themes and the emotions that arise from them allows us not only to express our grief in a safe and contained way, but to invite it to change our way of being with it. It provides a connection with unacknowledged inner experiences and can offer an outlet to relieve the weight of those experiences. 
You do not need to be an artist or have any artistic skill or experience to attend this workshop and there is no cost to participants. 
All materials will be provided. 
",Exploring Francis Weller's Five Gates of Grief Through Art,In-person,SSHPCS Office,"821 King Street, Unit 7",6,Yes,Those who have experienced significant loss. ,They should register,Free,,September 26th,1:00pm - 3:00pm,"No experience necessary, all material provided. Registration is required.",,B4V 1B7,Bridgewater,,https://forms.gle/mw8y4Y2mEfeSLvc69,"Mellissa Riley, 902-527-0000, office@southshorehospice.ca",https://drive.google.com/open?id=1-TIL-1M_EuaGodS_6uOyMzGruiLJFUdj,,https://drive.google.com/uc?export=view&id=EuaGodS_6uOyMzGruiLJFUdj,https://www.goodgriefnovascotia.ca/schedule#calendar-0df95af3-fbd9-40a7-b19c-ff181ca13476-event-lm9v0tms,https://docs.google.com/forms/d/e/1FAIpQLScOx5S469HM1kf9iCa8lwN7AdGEJfP7MFQHhpBKXqgbGZU2KA/viewform,821 King Street Unit 7 Canada,"King, ON L7B",44.01121,-79.601058,0.5,place,CanVec+ by Natural Resources Canada
